Nama Sukuk,Nilai Nominal (Billion Rp),Interest/ Disc rate (%),Listing Date,Mature Date,Effective Date (Month)
SUKUK IJARAH BERKELANJUTAN II SPINDO TAHAP I TAHUN 2023 SERI A,3.0,7.75,2023-04-05,2024-04-11,12
SUKUK IJARAH BERKELANJUTAN II SPINDO TAHAP I TAHUN 2023 SERI B,141.1,9.5,2023-04-05,2026-04-04,36
SUKUK IJARAH BERKELANJUTAN II SPINDO TAHAP I TAHUN 2023 SERI C,10.9,10.0,2023-04-05,2028-04-04,60
SUKUK IJARAH BERKELANJUTAN II SPINDO TAHAP II TAHUN 2023,59.65,7.0,2023-08-09,2024-08-15,12
SUKUK IJARAH BERKELANJUTAN II XL AXIAT TAHAP II TAHUN 2019 SERI E,26.0,10.0,2019-02-11,2029-02-08,121
SUKUK IJARAH BERKELANJUTAN II XL AXIATA TAHAP I TAHUN 2018 SERI B,399.0,9.1,2018-10-08,2021-10-16,36
SUKUK IJARAH BERKELANJUTAN II XL AXIATA TAHAP I TAHUN 2018 SERI C,149.0,9.6,2018-10-17,2023-10-16,60
SUKUK IJARAH BERKELANJUTAN II XL AXIATA TAHAP I TAHUN 2018 SERI D,34.0,10.1,2018-10-17,2025-10-16,85
SUKUK IJARAH BERKELANJUTAN II XL AXIATA TAHAP I TAHUN 2018 SERI E,60.0,10.3,2018-10-17,2028-10-16,121
SUKUK IJARAH BERKELANJUTAN II XL AXIATA TAHAP II TAHUN 2019 SERI B,110.0,8.65,2019-02-11,2022-02-08,36
SUKUK IJARAH BERKELANJUTAN II XL AXIATA TAHAP II TAHUN 2019 SERI C,138.0,9.25,2019-02-11,2024-02-08,60
SUKUK IJARAH BERKELANJUTAN II XL AXIATA TAHAP II TAHUN 2019 SERI D,15.0,9.7,2019-02-11,2026-02-08,85
SUKUK IJARAH BERKELANJUTAN II XL AXIATA TAHAP II TAHUN 2019 SERI E,26.0,10.0,2019-02-11,2029-02-08,121
SUKUK IJARAH BERKELANJUTAN III GLOBAL MEDIACOM TAHAP I TAHUN 2022 SERI A,312.67,8.5,2022-07-06,2023-07-15,12
SUKUK IJARAH BERKELANJUTAN III GLOBAL MEDIACOM TAHAP I TAHUN 2022 SERI B,269.63,10.0,2022-07-06,2025-07-05,36
SUKUK IJARAH BERKELANJUTAN III GLOBAL MEDIACOM TAHAP I TAHUN 2022 SERI C,10.21,11.0,2022-07-06,2027-07-05,60
SUKUK IJARAH BERKELANJUTAN III GLOBAL MEDIACOM TAHAP II TAHUN 2022 SERI A,301.15,8.25,2022-09-19,2023-09-24,12
SUKUK IJARAH BERKELANJUTAN III GLOBAL MEDIACOM TAHAP II TAHUN 2022 SERI B,96.6,10.0,2022-09-19,2025-09-16,36
SUKUK IJARAH BERKELANJUTAN III GLOBAL MEDIACOM TAHAP II TAHUN 2022 SERI C,2.25,11.0,2022-09-19,2027-09-16,60
SUKUK IJARAH BERKELANJUTAN III INDOSAT TAHAP I TAHUN 2019 SERI B,91.0,9.25,2019-03-06,2022-03-04,36
SUKUK IJARAH BERKELANJUTAN III INDOSAT TAHAP I TAHUN 2019 SERI C,29.0,9.75,2019-03-06,2024-03-05,60
SUKUK IJARAH BERKELANJUTAN III INDOSAT TAHAP I TAHUN 2019 SERI D,11.0,10.1,2019-03-06,2026-03-05,85
SUKUK IJARAH BERKELANJUTAN III INDOSAT TAHAP I TAHUN 2019 SERI E,21.0,10.35,2019-03-06,2029-03-05,121
SUKUK IJARAH BERKELANJUTAN III INDOSAT TAHAP II TAHUN 2019 SERI B,60.0,9.0,2019-07-23,2022-07-23,36
SUKUK IJARAH BERKELANJUTAN III INDOSAT TAHAP II TAHUN 2019 SERI C,404.0,9.25,2019-07-24,2024-07-23,60
SUKUK IJARAH BERKELANJUTAN III INDOSAT TAHAP II TAHUN 2019 SERI D,20.0,10.0,2019-07-24,2029-07-23,121
SUKUK IJARAH BERKELANJUTAN III PLN TAHAP I TAHUN 2018 SERI A,127.0,7.8,2018-07-11,2023-07-10,60
SUKUK IJARAH BERKELANJUTAN III PLN TAHAP I TAHUN 2018 SERI B,150.0,8.35,2018-07-11,2025-07-10,85
SUKUK IJARAH BERKELANJUTAN III PLN TAHAP I TAHUN 2018 SERI C,258.0,8.4,2018-07-11,2028-07-10,121
SUKUK IJARAH BERKELANJUTAN III PLN TAHAP I TAHUN 2018 SERI D,105.0,8.9,2018-07-11,2033-07-10,182
SUKUK IJARAH BERKELANJUTAN III PLN TAHAP I TAHUN 2018 SERI E,110.0,9.0,2018-07-11,2038-07-10,243
SUKUK IJARAH BERKELANJUTAN III PLN TAHAP II TAHUN 2018 SERI A,114.0,8.65,2018-10-11,2023-10-10,60
SUKUK IJARAH BERKELANJUTAN III PLN TAHAP II TAHUN 2018 SERI B,45.0,9.0,2018-10-11,2025-10-10,85
SUKUK IJARAH BERKELANJUTAN III PLN TAHAP II TAHUN 2018 SERI C,15.0,9.1,2018-10-11,2028-10-10,121
SUKUK IJARAH BERKELANJUTAN III PLN TAHAP II TAHUN 2018 SERI D,50.0,9.65,2018-10-11,2038-10-10,243
SUKUK IJARAH BERKELANJUTAN III PLN TAHAP III TAHUN 2019 SERI A,263.0,8.5,2019-02-20,2022-02-16,36
SUKUK IJARAH BERKELANJUTAN III PLN TAHAP III TAHUN 2019 SERI B,263.0,9.1,2019-02-20,2024-02-16,60
SUKUK IJARAH BERKELANJUTAN III PLN TAHAP III TAHUN 2019 SERI C,204.0,9.35,2019-02-20,2026-02-16,85
SUKUK IJARAH BERKELANJUTAN III PLN TAHAP III TAHUN 2019 SERI D,45.0,9.6,2019-02-20,2029-02-19,121
SUKUK IJARAH BERKELANJUTAN III PLN TAHAP III TAHUN 2019 SERI E,60.0,9.8,2019-02-20,2034-02-19,182
SUKUK IJARAH BERKELANJUTAN III PLN TAHAP III TAHUN 2019 SERI F,28.0,9.95,2019-02-20,2039-02-19,243
SUKUK IJARAH BERKELANJUTAN III PLN TAHAP IV TAHUN 2019 SERI A,274.0,8.0,2019-08-02,2024-08-01,60
SUKUK IJARAH BERKELANJUTAN III PLN TAHAP IV TAHUN 2019 SERI B,368.0,8.5,2019-08-02,2026-08-01,85
SUKUK IJARAH BERKELANJUTAN III PLN TAHAP IV TAHUN 2019 SERI C,20.0,8.7,2019-08-02,2029-08-01,121
SUKUK IJARAH BERKELANJUTAN III PLN TAHAP IV TAHUN 2019 SERI D,49.0,9.5,2019-08-02,2034-08-01,182
SUKUK IJARAH BERKELANJUTAN III PLN TAHAP IV TAHUN 2019 SERI E,539.0,9.975,2019-08-02,2039-08-01,243
SUKUK IJARAH BERKELANJUTAN III PLN TAHAP V TAHUN 2019 SERI A,6.5,7.9,2019-10-02,2024-10-01,60
SUKUK IJARAH BERKELANJUTAN III PLN TAHAP V TAHUN 2019 SERI B,10.0,8.4,2019-10-02,2026-10-01,85
SUKUK IJARAH BERKELANJUTAN III PLN TAHAP V TAHUN 2019 SERI C,92.0,8.6,2019-10-02,2029-10-01,121
SUKUK IJARAH BERKELANJUTAN III PLN TAHAP V TAHUN 2019 SERI D,135.0,9.4,2019-10-02,2034-10-01,182
SUKUK IJARAH BERKELANJUTAN III PLN TAHAP V TAHUN 2019 SERI E,554.0,9.9,2019-10-02,2039-10-01,243
SUKUK IJARAH BERKELANJUTAN III PLN TAHAP VI TAHUN 2020 SERI A,40.5,7.7,2020-02-19,2027-02-18,85
SUKUK IJARAH BERKELANJUTAN III PLN TAHAP VI TAHUN 2020 SERI B,3.5,8.0,2020-02-19,2030-02-18,121
SUKUK IJARAH BERKELANJUTAN III PLN TAHAP VI TAHUN 2020 SERI C,9.0,8.7,2020-02-19,2035-02-18,182
SUKUK IJARAH BERKELANJUTAN III PLN TAHAP VI TAHUN 2020 SERI D,62.5,9.05,2020-02-19,2040-02-18,243
SUKUK IJARAH BERKELANJUTAN III SAMATOR INDO GAS TAHAP I TAHUN 2023 SERI A,35.5,7.4,2023-10-11,2026-10-10,36
SUKUK IJARAH BERKELANJUTAN III SAMATOR INDO GAS TAHAP I TAHUN 2023 SERI B,34.5,7.9,2023-10-11,2028-10-10,60
SUKUK IJARAH BERKELANJUTAN III XL AXIATA TAHAP I TAHUN 2022 SERI A,680.915,6.75,2022-09-02,2025-09-01,36
SUKUK IJARAH BERKELANJUTAN III XL AXIATA TAHAP I TAHUN 2022 SERI B,421.3,7.4,2022-09-02,2027-09-01,60
SUKUK IJARAH BERKELANJUTAN III XL AXIATA TAHAP I TAHUN 2022 SERI C,135.135,7.9,2022-09-02,2029-09-01,85
SUKUK IJARAH BERKELANJUTAN III XL AXIATA TAHAP I TAHUN 2022 SERI D,262.65,8.25,2022-09-02,2032-09-01,121
SUKUK IJARAH BERKELANJUTAN IV GLOBAL MEDIACOM TAHAP I TAHUN 2023 SERI A,392.29,9.25,2023-07-07,2024-07-16,12
SUKUK IJARAH BERKELANJUTAN IV GLOBAL MEDIACOM TAHAP I TAHUN 2023 SERI B,442.36,10.25,2023-07-07,2026-07-06,36
SUKUK IJARAH BERKELANJUTAN IV GLOBAL MEDIACOM TAHAP I TAHUN 2023 SERI C,15.35,11.25,2023-07-07,2028-07-06,60
SUKUK IJARAH BERKELANJUTAN IV INDOSAT TAHAP I TAHUN 2022 SERI A,375.0,7.0,2022-10-27,2025-10-26,36
SUKUK IJARAH BERKELANJUTAN IV INDOSAT TAHAP I TAHUN 2022 SERI B,375.0,7.7,2022-10-27,2027-10-26,60
SUKUK IJARAH BERKELANJUTAN IV PLN TAHAP I TAHUN 2020 SERI A,39.0,6.7,2020-09-09,2025-09-08,60
SUKUK IJARAH BERKELANJUTAN IV PLN TAHAP I TAHUN 2020 SERI B,35.0,7.25,2020-09-09,2027-09-08,85
SUKUK IJARAH BERKELANJUTAN IV PLN TAHAP I TAHUN 2020 SERI C,200.0,7.9,2020-09-09,2030-09-08,121
SUKUK IJARAH BERKELANJUTAN IV PLN TAHAP I TAHUN 2020 SERI D,56.0,8.65,2020-09-09,2035-09-08,182
SUKUK IJARAH BERKELANJUTAN IV PLN TAHAP I TAHUN 2020 SERI E,46.5,8.86,2020-09-09,2040-09-08,243
SUKUK IJARAH BKL I ANEKA GAS INDUSTRI TAHAP II TAHUN 2017 SERI B,37.0,9.9,2017-12-06,2022-12-05,60
SUKUK IJARAH I ANGKASA PURA I TAHUN 2016 SERI A,268.0,8.1,2016-11-10,2021-11-22,61
SUKUK IJARAH I ANGKASA PURA I TAHUN 2016 SERI B,55.0,8.4,2016-11-23,2023-11-22,85
SUKUK IJARAH I ANGKASA PURA I TAHUN 2016 SERI C,177.0,8.55,2016-11-23,2026-11-22,121
SUKUK IJARAH I POLYTAMA PROPINDO TAHUN 2020 SERI A,150.9,10.0,2020-08-31,2021-09-19,12
SUKUK IJARAH I POLYTAMA PROPINDO TAHUN 2020 SERI B,5.55,11.0,2020-09-09,2023-09-09,36
SUKUK IJARAH II POLYTAMA PROPINDO TAHUN 2021 SERI A,104.0,6.5,2021-08-30,2024-09-08,36
SUKUK IJARAH II POLYTAMA PROPINDO TAHUN 2021 SERI B,56.0,7.25,2021-09-09,2026-09-08,60
SUKUK MUDHARABAH BERKELANJUTAN I ASTRA SEDAYA FINANCE TAHAP I TAHUN 2018 SERI B,175.0,7.5,2018-05-21,2021-05-25,36
SUKUK MUDHARABAH BERKELANJUTAN I BANK CIMB NIAGA TAHAP I TAHUN 2018 SERI B,559.0,9.25,2018-11-08,2021-11-15,36
SUKUK MUDHARABAH BERKELANJUTAN I BANK CIMB NIAGA TAHAP II TAHUN 2019 SERI B,635.0,7.1,2019-08-22,2022-08-21,36
SUKUK MUDHARABAH BERKELANJUTAN I BANK CIMB NIAGA TAHAP II TAHUN 2019 SERI C,429.0,8.25,2019-08-22,2024-08-21,60
SUKUK MUDHARABAH BERKELANJUTAN I BANK CIMB NIAGA TAHAP III TAHUN 2020 SERI B,287.0,7.0,2020-03-30,2023-03-27,36
SUKUK MUDHARABAH BERKELANJUTAN I BANK CIMB NIAGA TAHAP III TAHUN 2020 SERI C,391.0,7.25,2020-03-30,2025-03-27,60
SUKUK MUDHARABAH BERKELANJUTAN I BUSSAN AUTO FINANCE TAHAP I TAHUN 2020,15.0,8.25,2020-08-04,2023-08-04,36
SUKUK MUDHARABAH BERKELANJUTAN I BUSSAN AUTO FINANCE TAHAP II TAHUN 2020 SERI A,373.0,7.25,2020-07-24,2021-10-29,15
SUKUK MUDHARABAH BERKELANJUTAN I BUSSAN AUTO FINANCE TAHAP II TAHUN 2020 SERI B,112.0,7.25,2020-10-22,2023-10-22,36
SUKUK MUDHARABAH BERKELANJUTAN I HUTAMA KARYA TAHAP I TAHUN 2021 SERI A,16.5,8.25,2021-09-08,2024-09-07,36
SUKUK MUDHARABAH BERKELANJUTAN I HUTAMA KARYA TAHAP I TAHUN 2021 SERI B,64.45,8.55,2021-09-08,2026-09-07,60
SUKUK MUDHARABAH BERKELANJUTAN I HUTAMA KARYA TAHAP I TAHUN 2021 SERI C,419.05,9.3,2021-09-08,2028-09-07,85
SUKUK MUDHARABAH BERKELANJUTAN I HUTAMA KARYA TAHAP II TAHUN 2022 SERI A,138.25,6.5,2022-01-13,2025-01-12,36
SUKUK MUDHARABAH BERKELANJUTAN I HUTAMA KARYA TAHAP II TAHUN 2022 SERI B,105.26,7.75,2022-01-13,2027-01-12,60
SUKUK MUDHARABAH BERKELANJUTAN I HUTAMA KARYA TAHAP II TAHUN 2022 SERI C,69.49,8.25,2022-01-13,2029-01-12,85
SUKUK MUDHARABAH BERKELANJUTAN I INDAH KIAT PULP & PAPER TAHAP I TAHUN 2021 SERI A,500.0,6.75,2021-10-01,2022-10-06,12
SUKUK MUDHARABAH BERKELANJUTAN I INDAH KIAT PULP & PAPER TAHAP I TAHUN 2021 SERI B,449.25,9.25,2021-10-01,2024-09-30,36
SUKUK MUDHARABAH BERKELANJUTAN I INDAH KIAT PULP & PAPER TAHAP I TAHUN 2021 SERI C,50.75,10.0,2021-10-01,2026-09-30,60
SUKUK MUDHARABAH BERKELANJUTAN I INDAH KIAT PULP & PAPER TAHAP II TAHUN 2021 SERI A,187.195,6.0,2021-12-09,2022-12-18,12
SUKUK MUDHARABAH BERKELANJUTAN I INDAH KIAT PULP & PAPER TAHAP II TAHUN 2021 SERI B,304.525,8.75,2021-12-09,2024-12-08,36
SUKUK MUDHARABAH BERKELANJUTAN I INDAH KIAT PULP & PAPER TAHAP II TAHUN 2021 SERI C,247.09,9.25,2021-12-09,2026-12-08,60
SUKUK MUDHARABAH BERKELANJUTAN I INDAH KIAT PULP & PAPER TAHAP III TAHUN 2022 SERI A,701.945,6.0,2022-02-25,2023-03-26,13
SUKUK MUDHARABAH BERKELANJUTAN I INDAH KIAT PULP & PAPER TAHAP III TAHUN 2022 SERI B,451.225,8.75,2022-02-25,2025-02-24,36
SUKUK MUDHARABAH BERKELANJUTAN I INDAH KIAT PULP & PAPER TAHAP III TAHUN 2022 SERI C,108.02,9.25,2022-02-25,2027-02-24,60
SUKUK MUDHARABAH BERKELANJUTAN I INTEGRA INDOCABINET TAHAP I TAHUN 2021 SERI A,52.5,9.0,2021-04-08,2022-04-24,12
SUKUK MUDHARABAH BERKELANJUTAN I INTEGRA INDOCABINET TAHAP I TAHUN 2021 SERI B,97.5,10.25,2021-04-15,2024-04-14,36
SUKUK MUDHARABAH BERKELANJUTAN I INTEGRA INDOCABINET TAHAP II TAHUN 2022 SERI A,83.8,9.0,2022-03-28,2025-03-25,36
